Timestamp,Group Number,Lottery String,12-04-24 Monday [8:00-10:00],12-04-24 Monday [10:00-12:00],12-04-24 Monday [12:30-14:30],12-04-24 Monday [14:30-16:30],12-04-24 Monday [18:00-20:00],12-04-24 Monday [20:00-22:00],14-04-24 Wednesday [8:00-10:00],14-04-24 Wednesday [10:00-12:00],14-04-24 Wednesday [12:30-14:30],14-04-24 Wednesday [14:30-16:30],14-04-24 Wednesday [18:00-20:00],14-04-24 Wednesday [20:00-22:00],15-04-24 Thursday [8:00-10:00],15-04-24 Thursday [10:00-12:00],15-04-24 Thursday [12:30-14:30],15-04-24 Thursday [14:30-16:30],15-04-24 Thursday [18:00-20:00],15-04-24 Thursday [20:00-22:00],16-04-24 Friday [8:00-10:00],16-04-24 Friday [10:00-12:00],16-04-24 Friday [12:30-14:30],16-04-24 Friday [14:30-16:30],16-04-24 Friday [18:00-20:00],16-04-24 Friday [20:00-22:00]
30/07/2024 11:30:47,Group 14,GolangStoleMyWife,Want,Want,,Can do,Want,,Can do,,Want,Can do,Can do,Want,,Want,Can do,Want,Can do,Want,Want,,Can do,Want,Can do,Can do
30/07/2024 11:53:29,Group 15,LukeIAmYourfather,,Can do,Want,Want,Can do,Want,Can do,,Want,Want,Want,Want,Want,,Can do,Can do,Can do,Want,Want,,Can do,Want,Want,Can do
30/07/2024 11:22:05,Group 1,Lololol,Want,Want,Can do,Want,Can do,Want,,Can do,,Want,Want,Want,Can do,,Want,,Want,Can do,Want,,Want,Can do,Want,Can do
30/07/2024 11:26:11,Group 7,BRUHHHHHHHHHHHHHH,Can do,,Want,Want,Want,,Want,,Want,Want,Can do,Can do,Want,Want,Want,,Can do,,Want,,Want,Want,Want,
30/07/2024 11:26:50,Group 8,FAHAHHHAHAAHHASDA,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want,Want
30/07/2024 11:55:27,Group 18,HitMeWithYourRythmStick,Want,,Want,Want,Can do,Want,,Can do,Want,Want,Want,,,Can do,Can do,Can do,Want,Want,Want,Can do,Want,,Want,Want
30/07/2024 11:56:48,Group 20,SidsteWhoooooooooo,Want,Want,Want,,,,Want,,Want,Want,Can do,,Want,,Can do,Can do,Can do,,Want,,,Want,Want,Want
30/07/2024 11:24:35,Group 5,YYASKDMSADJA,,Want,Want,Can do,Want,Want,Want,Want,Can do,Want,Want,,Want,Can do,,Want,Want,Want,Can do,Want,Want,Want,Can do,
30/07/2024 11:29:19,Group 12,GAHHHHHJAJAJAJAJ,Want,Can do,Can do,,Want,Want,Can do,,Want,,Want,Want,Want,Can do,Want,,Want,Want,Can do,,Want,Can do,Want,Can do
30/07/2024 11:30:04,Group 13,FactorioIsBae,,Want,Want,Want,Can do,Can do,Want,,Can do,Want,Want,Want,,Want,Want,Can do,Can do,Can do,Can do,Can do,,Want,Want,
30/07/2024 11:25:37,Group 6,KIKIKIKILLLKKKOJI,,Can do,,Want,Want,Can do,Want,Want,,Want,Want,Can do,,Want,,Want,Want,Want,,Want,Want,,Want,Want
30/07/2024 11:28:42,Group 11,WhatsUpDog,,Want,Want,Can do,Want,Want,,Can do,Want,Want,,Want,Can do,Can do,Want,Want,Want,,Can do,Want,Want,Want,Want,
30/07/2024 11:54:13,Group 16,EdwardScissorHandsIsCringe,Want,Can do,,Want,Can do,Can do,Want,Can do,Want,Want,Want,,,Can do,Can do,Can do,Want,Want,Want,Want,Want,Can do,Can do,
30/07/2024 11:54:46,Group 17,ResponseHeader200,Want,,Want,Want,Want,,,,Can do,Can do,Want,Want,Want,,Want,Can do,Can do,,,Want,Want,Want,Can do,Can do
30/07/2024 11:22:50,Group 2,ThisIsSoRandom,Want,,Want,Can do,,Want,Want,Can do,,Want,Want,,Want,Want,,Can do,,Want,Want,,Want,,Want,Want
30/07/2024 11:23:21,Group 3,BlahBlahBlah,Want,Can do,Want,,Can do,Want,Can do,Want,,Want,Want,Want,Want,Want,Can do,,,Want,Want,Can do,,,Want,Want
30/07/2024 11:23:57,Group 4,HAHAHAHAHA,Want,Want,Want,Want,Want,Want,,,Can do,Can do,Can do,,Want,,Want,Want,,Want,Can do,,Want,Want,,Can do
30/07/2024 11:27:28,Group 9,NeverGonnaGiveYouUp,Want,Can do,,Want,Want,Want,Want,Want,Can do,,Want,Want,Want,,Want,,Want,Want,,Want,,Can do,Can do,Want
30/07/2024 11:28:06,Group 10,WhatTheDogDoin,Can do,Want,,Want,Want,,Want,,Want,Want,Can do,Want,Want,Want,Want,Can do,Can do,Want,Want,Want,,Can do,Want,Want
30/07/2024 11:56:17,Group 19,WhoWhatWhereWhy,,Can do,Can do,Want,Want,Want,Want,Want,Can do,Can do,,Want,Want,Can do,,Want,,Want,,Want,Want,Can do,,Want
